platform,title,price,url,description,notes,health_percent,power_on_hours,host_writes_tb,reallocated_sector_count,current_pending_sector,offline_uncorrectable,media_integrity_errors,critical_warning,supports_return,intended_use
Goofish / 閒魚,,,,,手動搜尋：SN740 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：SN740 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：SN740 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：SN740 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：SN740 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：SN740 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：PM9A1 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：PM9A1 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：PM9A1 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：PM9A1 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：PM9A1 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：PM9A1 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：PM9A1a 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：PM9A1a 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：PM9A1a 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：PM9A1a 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：PM9A1a 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：PM9A1a 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：Micron 3400 1TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：Micron 3400 1TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：Micron 3400 1TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
Goofish / 閒魚,,,,,手動搜尋：Micron 3400 2TB NVMe 閒魚；來源：requirements.ssd.yml,,,,,,,,,,
Taobao,,,,,手動搜尋：Micron 3400 2TB NVMe 淘寶；來源：requirements.ssd.yml,,,,,,,,,,
JD,,,,,手動搜尋：Micron 3400 2TB NVMe 京東；來源：requirements.ssd.yml,,,,,,,,,,
